sample,river,zone,site,habitat,Lat,Lon,water_type,benthic_type,oxygen,oxygen_sat,temperature,chloride,doc,ammonium,nitrate,phosphate,tn,tp,don,dnp,tnp,benthic_type,afdm,chl,chl_afdm,m,conductivity,time,dry_mass,perc_om
1,Bitterroot,MC,UP,SR,46.667,-114.039,surface,Epilithon,8.61,94.7,20,2.329,1.743,1.5,2.7,11,144.1,5.9,139.9,0.8,53.9,Epilithon,0.006,0.05,0.084,975,125.2,0.5,0.01,49.6
2,Bitterroot,MC,UP,RN,46.668,-114.0388,surface,Epilithon,8.53,93.5,19.8,1.822,2.269,3.5,8.7,10.3,162.1,7.7,150,2.6,46.5,Epilithon,0.532,7.93,0.149,973,125.3,0.48,8.63,6.2
3,Bitterroot,MC,UP,PO,46.6688,-114.0393,surface,,7.9,86,19.5,1.922,1.986,1.5,16,10,134.2,5.6,116.7,3.9,52.9,,,,,976,124.7,0.44,,
4,Bitterroot,OC,UP,FC,46.6644,-114.0535,surface,Epilithon,9.02,106.2,23.5,1.446,1.758,3.7,1,10.7,110,6,105.3,1,40.5,Epilithon,3.632,38.77,0.107,974,114.3,0.59,16.8,21.6
5,Bitterroot,MC,UP,SL,46.6682,-114.039,surface,Epilithon,8.14,89.4,19.9,1.364,1.833,1.5,18.3,10.7,486.6,42.5,466.8,4.1,25.3,Epilithon,0.521,11.35,0.218,974,117.5,0.46,2.97,17.5
6,Bitterroot,MC,UP,SL,46.6682,-114.039,hyporheic,,3.27,38.3,23.2,1.334,4.56,16.5,167.7,62.2,153.4,6.4,25,6.6,52.9,,,,,974,81.4,0.46,,
7,Bitterroot,OC,UP,BK,46.6678,-114.0448,surface,FBOM,8.11,93.2,22.2,1.452,2.143,10.4,25.3,13.3,189.2,11.6,153.5,5.9,36,FBOM,4.005,24.99,0.062,977,115,0.57,32.4,12.4
8,Bitterroot,OC,UP,BK,46.6678,-114.0448,hyporheic,,3.73,43.5,23.1,0.989,1.615,155.1,1.7,44.8,378.8,89.2,222,7.7,9.4,,,,,977,72,0.57,,
9,Bitterroot,MC,UP,CZ,46.6689,-114.0394,surface,Epilithon,7.75,83.9,19.2,1.881,2.287,13.8,16.3,10.3,130.4,5.1,100.3,6.4,56.4,Epilithon,0.712,9.01,0.127,975,124.9,0.42,6.44,11.1
10,Bitterroot,MC,UP,CZ,46.6689,-114.0394,hyporheic,,1.6,11.9,20.8,2.114,3.316,17.1,87.3,47.8,532.9,26.6,428.5,4.8,44.2,,,,,975,130.9,0.42,,
11,Bitterroot,OC,UP,PS,46.6683,-114.0412,surface,Epilithon,2.9,27.5,18,0.857,1.514,2,39,18,136.6,13.4,95.6,5,22.5,Epilithon,1.661,30.2,0.182,968,78.5,0.4,17.99,9.2
12,Bitterroot,OC,UP,PS,46.6683,-114.0412,hyporheic,,1.66,17.2,17.1,0.843,1.447,1.5,48.7,43.2,126.7,14.5,76.5,2.6,19.3,,,,,968,43.5,0.4,,
13,Bitterroot,OC,UP,OS,46.6656,-114.0375,surface,FBOM,5.96,63.06,19,2.324,1.832,1.5,1,22.7,128.5,10.1,126,0.2,28.1,FBOM,3.581,25.12,0.07,975,173.4,0.48,22.24,16.1
14,Bitterroot,OC,UP,OS,46.6656,-114.0375,hyporheic,,0.55,5.5,16,6.521,5.901,1554.1,19,64.8,3750.5,2310.9,2177.4,53.7,3.6,,,,,975,379.3,0.52,,
15,Bitterroot,OC,UP,PN,46.6665,-114.0446,surface,FBOM,3.73,43.5,23.1,0.866,2.847,14.3,12.3,18.7,292.2,40.1,265.5,3.2,16.1,FBOM,4.877,64.81,0.133,970,71,0.54,46.46,10.5
16,Bitterroot,MC,MD,SR,46.6909,-114.0453,surface,Epilithon,7.5,80,18.4,1.358,2.256,1.5,24.7,8,187.4,11.8,161.2,7.2,35.1,Epilithon,2.354,19.47,0.083,971,121,0.45,14.78,15.9
17,Bitterroot,MC,MD,RN,46.6955,-114.0474,surface,Epilithon,8.2,89.4,19.4,1.672,2.247,1.5,21.7,9.3,111,5.9,87.8,5.5,41.5,Epilithon,0.37,5.5,0.149,972,122,0.51,1.82,20.3
18,Bitterroot,MC,MD,PO,46.6973,-114.0454,surface,,8.56,94.9,20.4,1.396,2.019,6.4,38.7,10,116.5,4.7,71.4,10,54.7,,,,,969,122.1,0.56,,
19,Bitterroot,OC,MD,PS,46.6825,-114.043,surface,Epilithon,5.01,52.4,17.5,1.293,2.013,8.2,24.7,16,249.6,11,216.7,4.5,50.1,Epilithon,1.748,31.79,0.182,974,99.8,0.67,7.9,22.1
20,Bitterroot,OC,MD,PS,46.6825,-114.043,hyporheic,,2.13,23.5,20,1.136,1.683,5,17,37.2,222.7,21.8,200.7,1.3,22.5,,,,,974,93,0.67,,
21,Bitterroot,MC,MD,SL,46.6906,-114.0459,surface,Epilithon,7.66,82.3,18.8,1.594,1.877,1.5,14.7,11.7,103.9,6.5,87.7,3.1,35.3,Epilithon,0.273,5.97,0.218,967,220,0.41,1.49,18.3
